index	Journal	Article Title	Year	Affiliation	Country
12	International journal of systematic and evolutionary microbiology	Salinimonas sediminis sp. nov., a piezophilic bacterium isolated from a deep-sea sediment sample from the New Britain Trench.	2018	2​National Engineering Research Center for Oceanic Fisheries, Shanghai Ocean University, Shanghai 201306, PR China.	china
13	International journal of systematic and evolutionary microbiology	Nocardioides houyundeii sp. nov., isolated from Tibetan antelope faeces.	2018	1​Guangxi Key Laboratory of AIDS Prevention and Treatment & Guangxi Collaborative Innovation Center for Biomedicine, School of Public Health, Guangxi Medical University, Nanning 530021, Guangxi, PR China.	china
14	International journal of systematic and evolutionary microbiology	Clostridium composti sp. nov., a new anaerobic bacteria isolated from compost.	2018	1​ABS Research Support Center/Korean Collection for Type Cultures, KRIBB, 125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Republic of Korea.	south korea
15	International journal of systematic and evolutionary microbiology	Taxonomic status of Corynebacterium diphtheriae biovar Belfanti and proposal of Corynebacterium belfantii sp. nov.	2018	1​Institut Pasteur, Biodiversity and Epidemiology of Bacterial Pathogens & National Reference Center for the Corynebacteria of the diphtheriae complex, Paris, France.	france
16	International journal of systematic and evolutionary microbiology	Flavobacterium sediminis sp. nov., a starch-degrading bacterium isolated from tidal flat sediment.	2018	1​National Marine Biodiversity Institute of Korea, 101-75, Jangsan-ro, Janghang-eup, Seocheon-gun Chungcheongnam-do 33662, Republic of Korea.	south korea
17	Journal of microbiology (Seoul, Korea)	Roseovarius tibetensis sp. nov., a halophilic bacterium isolated from Lake LongmuCo on Tibetan Plateau.	2018	State Key Laboratory of Lake Science and Environment, Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences, Nanjing, 210008, P. R. China.	china
18	International journal of systematic and evolutionary microbiology	Arthrobacter silvisoli sp. nov., isolated from forest soil.	2018	1​School of Life Science, Northeast Agricultural University, Harbin 150030, PR China.	china
19	International journal of systematic and evolutionary microbiology	Alteromonas indica sp. nov., isolated from surface seawater from the Indian Ocean.	2018	College of Biological and Environmental Sciences, Zhejiang Wanli University, Ningbo 315100, PR China.	china
20	International journal of systematic and evolutionary microbiology	Actinomyces tangfeifanii sp. nov., isolated from the vulture Aegypius monachus.	2018	1​State Key Laboratory of Infectious Disease Prevention and Control, National Institute for Communicable Disease Control and Prevention, Collaborative Innovation Center for Diagnosis and Treatment of Infectious Diseases, Chinese Center for Disease Control and Prevention, Changping, Beijing 102206, PR China.	china
21	International journal of systematic and evolutionary microbiology	Reclassification of Eubacterium hallii as Anaerobutyricum hallii gen. nov., comb. nov., and description of Anaerobutyricum soehngenii sp. nov., a butyrate and propionate-producing bacterium from infant faeces.	2018	1​Laboratory of Microbiology, Wageningen University and Research, Stippeneng 4, Building 124, 6708 WE Wageningen, The Netherlands.	netherlands
22	International journal of systematic and evolutionary microbiology	Litorivita pollutaquae gen. nov., sp. nov., a marine bacterium in the family Rhodobacteraceae isolated from surface seawater of Xiamen Port, China.	2018	Key Laboratory of the Ministry of Education for Coastal and Wetland Ecosystems, School of Life Sciences, Xiamen University, Xiamen 361102, PR China.	china
23	International journal of systematic and evolutionary microbiology	Prevotella rara sp. nov., isolated from human faeces.	2018	1​Department of Microbiology and Virology, Pirogov Russian National Research Medical University, Moscow 117997, Russia.	russia
24	International journal of systematic and evolutionary microbiology	Jeotgalibacillus proteolyticus sp. nov., a protease-producing bacterium isolated from ocean sediments.	2018	1​Key Laboratory of Coastal Biology and Utilization, Yantai Institute of Coastal Zone Research, Chinese Academy of Sciences, Yantai 264003, PR China.	china
25	International journal of systematic and evolutionary microbiology	Paracoccus salipaludis sp. nov., isolated from saline-alkaline soil.	2018	1​Jiangsu Provincial Key Lab for Organic Solid Waste Utilization, National Engineering Research Center for Organic-based Fertilizers, Jiangsu Collaborative Innovation Center for Solid Organic Waste Resource Utilization, Nanjing Agricultural University, Nanjing, 210095, PR China.	china
26	International journal of systematic and evolutionary microbiology	Minwuia thermotolerans gen. nov., sp. nov., a marine bacterium forming a deep branch in the Alphaproteobacteria, and proposal of Minwuiaceae fam. nov. and Minwuiales ord. nov.	2018	1​College of Life Sciences, Zhejiang Sci-Tech University, Hangzhou 310018, PR China.	china
27	International journal of systematic and evolutionary microbiology	Microbispora soli sp. nov., isolated from soil of a hot spring.	2018	1​Department of Biology and Actinobacterial research unit, Faculty of Science, King Mongkut's Institute of Technology Ladkrabang, Bangkok 10520, Thailand.	thailand
28	International journal of systematic and evolutionary microbiology	Lactococcus termiticola sp. nov., isolated from the gut of the wood-feeding higher termite Nasutitermes takasagoensis.	2018	1​Graduate School of Life and Environmental Sciences, University of Yamanashi, Yamanashi 400-8510, Japan.	japan
29	International journal of systematic and evolutionary microbiology	Flavobacterium riviphilum sp. nov., isolated from a freshwater creek.	2018	1​Department of Marine Biotechnology, National Kaohsiung University of Science and Technology, No. 142, Hai-Chuan Rd. Nan-Tzu, Kaohsiung City 811, Taiwan, ROC.	taiwan
30	International journal of systematic and evolutionary microbiology	Flavobacterium magnum sp. nov., Flavobacterium pallidum sp. nov., Flavobacterium crocinum sp. nov. and Flavobacterium album sp. nov.	2018	1​Department of Public Health Sciences, Graduate School, Korea University, Seoul, Republic of Korea.	south korea
31	International journal of systematic and evolutionary microbiology	Zobellella endophytica sp. nov., isolated from the roots of Phragmites communis in the Kumtag Desert.	2018	1​State Key Laboratory of Tree Genetics and Breeding, Key Laboratory of Tree Breeding and Cultivation of the State Forestry Administration, Research Institute of Forestry, Chinese Academy of Forestry, Beijing 100091, PR China.	china
32	International journal of systematic and evolutionary microbiology	Pleomorphochaeta naphthae sp. nov., a new anaerobic fermentative bacterium isolated from an oil field.	2018	1​CNRS/ UNIV PAU & PAYS ADOUR/ E2S UPPA, INSTITUT DES SCIENCES ANALYTIQUES ET DE PHYSICO-CHIMIE POUR L'ENVIRONNEMENT ET LES MATERIAUX , UMR5254, 64000, PAU, FRANCE.	france
33	International journal of systematic and evolutionary microbiology	Pedobacter chitinilyticus sp. nov., a chitin-degrading bacterium isolated from wheat leaf tissue.	2018	1​Key Laboratory of Environmental and Applied Microbiology, Environmental Microbiology Key Laboratory of Sichuan Province, Chengdu Institute of Biology, Chinese Academy of Sciences, Sichuan 610041, PR China.	china
34	International journal of systematic and evolutionary microbiology	Paenibacillus montanisoli sp. nov., isolated from mountain area soil.	2018	State Key Laboratory of Agricultural Microbiology, College of Life Science and Technology, Huazhong Agricultural University, Wuhan, Hubei 430070, PR China.	china
35	International journal of systematic and evolutionary microbiology	Rickettsia fournieri sp. nov., a novel spotted fever group rickettsia from Argas lagenoplastis ticks in Australia.	2018	1​UMR VITROME, Aix-Marseille University, IRD, Service de Santé des Armées, Assistance Publique-Hôpitaux de Marseille, Institut Hospitalo-Universitaire Méditerranée Infection, 19-21 Boulevard Jean Moulin, 13005 Marseille, France.	france
36	International journal of systematic and evolutionary microbiology	Alcanivorax indicus sp. nov., isolated from seawater.	2018	1​China General Microbiological Culture Collection Center, Institute of Microbiology, Chinese Academy of Sciences, Beijing 100101, PR China.	china
37	International journal of systematic and evolutionary microbiology	Indioceanicola profundi gen. nov., sp. nov., isolated from Indian Ocean sediment.	2018	1​CAS Key Laboratory of Marine Bio-resources and Ecology; Guangdong Key Laboratory of Marine Materia Medica; RNAM Center for Marine Microbiology, South China Sea Institute of Oceanology, Chinese Academy of Science, Guangzhou, Guangdong 510301, PR China.	china
38	International journal of systematic and evolutionary microbiology	Streptomyces lichenis sp. nov., isolated from lichen.	2018	1​Department of Microbiology, Faculty of Science, Chulalongkorn University, Bangkok 10330, Thailand.	thailand
39	International journal of systematic and evolutionary microbiology	Hanstruepera crassostreae sp. nov., a novel marine bacterium of the family Flavobacteriaceae isolated from an oyster.	2018	1​College of Marine Science, Shandong University, Weihai 264209, PR China.	china
40	International journal of systematic and evolutionary microbiology	Ignatzschineria cameli sp. nov., isolated from necrotic foot tissue of dromedaries (Camelus dromedarius) and associated maggots (Wohlfahrtia species) in Dubai.	2018	1​Department of Microbiology, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong, PR China.	china
41	International journal of systematic and evolutionary microbiology	Herbaspirillum piri sp. nov., isolated from bark of a pear tree.	2018	1​The Key Laboratory of State Forestry Administration on Forest Protection, Forest Ecology Environment and Protection, Chinese Academy of Forestry, Beijing 100091, PR China.	china
42	International journal of systematic and evolutionary microbiology	Streptomyces durbertensis sp. nov., isolated from saline-alkali soil.	2018	1​Key Laboratory of Agriculture Biological Functional Gene of Heilongjiang Provincial Education Committee, Northeast Agricultural University, No. 59 Mucai Street, Xiangfang District, Harbin 150030, PR China.	china
43	International journal of systematic and evolutionary microbiology	Description of a novel species of fast growing mycobacterium: Mycobacterium kyogaense sp. nov., a scotochromogenic strain received as Mycobacterium vaccae.	2018	1​School of Natural and Environmental Sciences, Ridley Building, Newcastle University, Newcastle upon Tyne, NE1 7RU, UK.	united kingdom
44	International journal of systematic and evolutionary microbiology	Rubrobacter indicoceani sp. nov., a new marine actinobacterium isolated from Indian Ocean sediment.	2018	1​CAS Key Laboratory of Marine Bio-resources and Ecology; Guangdong Key Laboratory of Marine Materia Medica; CAS RNAM Center for Marine Microbiology; South China Sea Institute of Oceanology, Chinese Academy of Science, Guangzhou 510301, PR China.	china
45	International journal of systematic and evolutionary microbiology	Desertimonas flava gen. nov., sp. nov. isolated from a desert soil, and proposal of Ilumatobacteraceae fam. nov.	2018	1​State Key Laboratory of Biocontrol and Guangdong Provincial Key Laboratory of Plant Resources, Sun Yat-Sen University, Guangzhou, 510275, PR China.	china
46	International journal of systematic and evolutionary microbiology	Megasphaera stantonii sp. nov., a butyrate-producing bacterium isolated from the cecum of a healthy chicken.	2018	1​United States Department of Agriculture, Food Safety and Enteric Pathogens Research Unit, National Animal Disease Center, Agricultural Research Service, 1920 Dayton Ave Ames IA 50010, USA.	united states of america
47	International journal of systematic and evolutionary microbiology	Chryseobacterium aurantiacum sp. nov., isolated from a freshwater pond used for Murray cod (Maccullochella peelii peelii) culture.	2018	1​Institute of Quality Standards and Testing Technology for Agro-Products, Fujian Academy of Agricultural Sciences, Fuzhou 350003, PR China.	china
48	International journal of systematic and evolutionary microbiology	Mesorhizobium ephedrae sp. nov. isolated from the roots of Ephedra przewalskii in Kumtag desert.	2018	1​State Key Laboratory of Tree Genetics and Breeding, Key Laboratory of Tree Breeding and Cultivation of the State Forestry Administration, Research Institute of Forestry, Chinese Academy of Forestry, Beijing 100091, PR China.	china
49	International journal of systematic and evolutionary microbiology	Mycobacterium syngnathidarum sp. nov., a rapidly growing mycobacterium identified in syngnathid fish.	2018	1​Department of Pathology, University of Georgia, College of Veterinary Medicine, Athens, GA, USA.	greece
50	International journal of systematic and evolutionary microbiology	Planococcus halotolerans sp. nov., isolated from a saline soil sample in China.	2018	1​Key Laboratory of Leather Chemistry and Engineering, Ministry of Education and College of Light Industry, Textile & Food Engineering, Sichuan University, Chengdu 610065, PR China.	china
51	International journal of systematic and evolutionary microbiology	Methylobacterium currus sp. nov., isolated from a car air conditioning system.	2018	1​Laboratory of Molecular Environmental Microbiology, Department of Environmental Science and Ecological Engineering, Korea University, Seoul, 02841, Republic of Korea.	south korea
52	International journal of systematic and evolutionary microbiology	Sphingomonas oleivorans sp. nov., isolated from oil-contaminated soil.	2018	1​Key Laboratory of Soil Microbiology , Ministry of Agriculture, Department of Microbiology and Immunology, College of Biological Sciences, China Agricultural University, Beijing 100193, PR China.	china
53	International journal of systematic and evolutionary microbiology	Paenibacillus paeoniae sp. nov., a novel endophytic bacterium isolated from leaf of Paeonia lactiflora Pall.	2018	Research Center for Medicine & Biology, Zunyi Medical University, Zunyi 563006, PR China.	china
54	International journal of systematic and evolutionary microbiology	Bradyrhizobium ripae sp. nov., a nitrogen-fixing symbiont isolated from nodules of wild legumes in Namibia.	2018	Department of Microbe-Plant Interactions, Center of Bioolecular Interactions Bremen (CBIB), Faculty of Biology and Chemistry, University of Bremen, Postfach 33 04 40, D-28334 Bremen, Germany.	germany
55	International journal of systematic and evolutionary microbiology	Microbispora triticiradicis sp. nov., a novel actinomycete isolated from the root of wheat (Triticum aestivum L.).	2018	1​Key Laboratory of Agriculture Biological Functional Gene of Heilongjiang Provincial Education Committee, Northeast Agricultural University, No. 59 Mucai Street, Xiangfang District, Harbin 150030, PR China.	china
56	International journal of systematic and evolutionary microbiology	Pectobacterium punjabense sp. nov., isolated from blackleg symptoms of potato plants in Pakistan.	2018	1​Department of Plant Pathology, Faculty of Agriculture, University of Agriculture Faisalabad (UAF), 38000 Faisalabad, Pakistan.	pakistan
57	International journal of systematic and evolutionary microbiology	Pseudoruegeria insulae sp. nov., isolated from a tidal flat.	2018	Department of Food Science and Biotechnology, Sungkyunkwan University, Jangan-gu, Suwon, Republic of Korea.	south korea
58	International journal of systematic and evolutionary microbiology	Kyrpidia spormannii sp. nov., a thermophilic, hydrogen-oxidizing, facultative autotroph, isolated from hydrothermal systems at São Miguel Island, and emended description of the genus Kyrpidia.	2018	1​Department of Applied Biology, Institute for Applied Biosciences, Karlsruhe Institute of Technology (KIT), Fritz-Haber-Weg 2, 76131 Karlsruhe, Germany.	germany
59	International journal of systematic and evolutionary microbiology	A polyphasic approach leads to seven new species of the cellulose-decomposing genus Sorangium, Sorangium ambruticinum sp. nov., Sorangium arenae sp. nov., Sorangium bulgaricum sp. nov., Sorangium dawidii sp. nov., Sorangium kenyense sp. nov., Sorangium orientale sp. nov. and Sorangium reichenbachii sp. nov.	2018	1​Microbial Drugs, Helmholtz Centre for Infection Research, Inhoffenstrasse 7, D-38124 Braunschweig, Germany.	germany
60	International journal of systematic and evolutionary microbiology	Lentzea terrae sp. nov., isolated from soil and an emended description of Lentzea soli.	2018	1​Key Laboratory of Agriculture Biological Functional Gene of Heilongjiang Provincial Education Committee, Northeast Agricultural University, No. 59 Mucai Street, Xiangfang District, Harbin 150030, PR China.	china
61	International journal of systematic and evolutionary microbiology	Marinobacter bohaiensis sp. nov., a moderate halophile isolated from benthic sediment of the Bohai Sea.	2018	1​Key Laboratory of Marine Drugs, Ministry of Education, School of Medicine and Pharmacy, Ocean University of China, Qingdao 266003, PR China.	china
62	International journal of systematic and evolutionary microbiology	Reichenbachiella versicolor sp. nov., isolated from red alga.	2018	1​College of Marine Science, Shandong University, Weihai, 264209, PR China.	china
63	International journal of systematic and evolutionary microbiology	Brachybacterium endophyticum sp. nov., a novel endophytic actinobacterium isolated from bark of Scutellaria baicalensis Georgi.	2018	1​Research Center for Medicine and Biology, Zunyi Medical University, Zunyi 563006, PR China.	china
64	International journal of systematic and evolutionary microbiology	Marinifilum breve sp. nov., a marine bacterium isolated from the Yongle Blue Hole in the South China Sea and emended description of the genus Marinifilum.	2018	1​College of Marine Life Sciences, Ocean University of China, Qingdao 266003, PR China.	china
65	International journal of systematic and evolutionary microbiology	Lactobacillus paragasseri sp. nov., a sister taxon of Lactobacillus gasseri, based on whole-genome sequence analyses.	2018	1​Center for Information Biology, National Institute of Genetics, Mishima, Shizuoka, 411-8540, Japan.	japan
66	International journal of systematic and evolutionary microbiology	Salibacterium nitratireducens sp. nov., a haloalkalitolerant bacterium isolated from a water sample from Sambhar salt lake, India.	2018	1​Academy of Scientific and Innovative Research, (AcSIR), CSIR Campus, Chennai, India.	india
67	International journal of systematic and evolutionary microbiology	Romboutsia hominis sp. nov., the first human gut-derived representative of the genus Romboutsia, isolated from ileostoma effluent.	2018	1​Laboratory of Microbiology, Wageningen University & Research, Stippeneng 4, 6708 WE Wageningen, The Netherlands.	netherlands
68	International journal of systematic and evolutionary microbiology	Geobacillus yumthangensis sp. nov., a thermophilic bacterium isolated from a north-east Indian hot spring.	2018	1​Department of Microbiology, School of Life Sciences, Sikkim University, 6th Mile, Samdur, Tadong, Gangtok - 737102, Sikkim, India.	india
69	International journal of systematic and evolutionary microbiology	Chryseolinea flava sp. nov., a new species of Chryseolinea isolated from soil.	2018	State Key Laboratory of Microbial Technology, Institute of Microbiology Technology, Shandong University, Qingdao 266237, PR China.	china
70	International journal of systematic and evolutionary microbiology	Pelagivirga sediminicola gen. nov., sp. nov. isolated from the Bohai Sea.	2018	1​Department of Pathogenic Biology, School of Basic Medical Sciences, Binzhou Medical University, Yantai, PR China.	china
71	International journal of systematic and evolutionary microbiology	Maribacter litoralis sp. nov. a marine bacterium isolated from seashore.	2018	1​Division of Environmental Science and Ecological Engineering, College of Life Science and Biotechnology, Korea University, Seoul 02841, Republic of Korea.	south korea
72	International journal of systematic and evolutionary microbiology	Brumimicrobium salinarum sp. nov., isolated from a marine solar saltern.	2018	1​College of Marine Science, Shandong University, Weihai 264209, PR China.	china
73	International journal of systematic and evolutionary microbiology	Ottowia konkukae sp. nov., isolated from rotten biji (tofu residue).	2018	1​Department of Animal Science and technology, Konkuk University, 120 Neungdong-ro, Gwangjin-gu, Seoul 05029, Republic of Korea.	south korea
74	International journal of systematic and evolutionary microbiology	Blastococcus litoris sp. nov., isolated from sea-tidal flat sediment.	2018	1​Division of Environmental Science & Ecological Engineering, College of Life Science & Biotechnology, Korea University, Seoul 02841, Republic of Korea.	south korea
75	International journal of systematic and evolutionary microbiology	Bacillus shivajii sp. nov., isolated from a water sample of Sambhar salt lake, India.	2018	1​MTCC-Microbial Type Culture Collection & Gene Bank, CSIR-Institute of Microbial Technology, Chandigarh 160036, India.	india
76	International journal of systematic and evolutionary microbiology	Chitinophaga parva sp. nov., a new member of the family Chitinophagaceae, isolated from soil in a chemical factory.	2018	1​Department of Microbiology, Key Lab of Environmental Microbiology for Agriculture, Ministry of Agriculture, College of Life Sciences, Nanjing Agricultural University, 210095 Nanjing, PR China.	china
77	International journal of systematic and evolutionary microbiology	Mycobacterium decipiens sp. nov., a new species closely related to the Mycobacterium tuberculosis complex.	2018	1​Department of Microbiology, The University of Texas Health Science Center at Tyler, Tyler, Texas, USA.	united states of america
78	International journal of systematic and evolutionary microbiology	Psychromicrobium lacuslunae sp. nov., isolated from a high altitude lake.	2018	1​Microbial Prospection Division, CSIR-Institute of Himalayan Bioresource Technology, Palampur (H.P.)-176 061, India.	india
79	International journal of systematic and evolutionary microbiology	Staphylococcus cornubiensis sp. nov., a member of the Staphylococcus intermedius Group (SIG).	2018	1​European Centre for Environment and Human Health, University of Exeter Medical School, University of Exeter, Penryn, UK.	united kingdom
80	International journal of systematic and evolutionary microbiology	Abyssibacter profundi gen. nov., sp. nov., a marine bacterium isolated from seawater of the Mariana Trench.	2018	1​College of Marine Life Sciences, Ocean University of China, Qingdao 266003, PR China.	china
81	International journal of systematic and evolutionary microbiology	Sphingomonas turrisvirgatae sp. nov., an agar-degrading species isolated from freshwater.	2018	1​Department of Biology, University of Rome Tor Vergata, Rome, Italy.	italy
82	International journal of systematic and evolutionary microbiology	Catenibacillus scindens gen. nov., sp. nov., a C-deglycosylating human intestinal representative of the Lachnospiraceae.	2018	Department of Gastrointestinal Microbiology, German Institute of Human Nutrition Potsdam-Rehbruecke, D-14558 Nuthetal, Germany.	germany
83	International journal of systematic and evolutionary microbiology	Nonomuraea mangrovi sp. nov., an actinomycete isolated from mangrove soil.	2018	Institute of Tropical Biosciences and Biotechnology, Key Laboratory of Biology and Genetic Resources of Tropical Crops of Ministry of Agriculture, Chinese Academy of Tropical Agricultural Sciences, Haikou 571101, Hainan, PR China.	china
84	International journal of systematic and evolutionary microbiology	Streptomyces dengpaensis sp. nov., an actinomycete isolated from desert soil.	2018	School of Biological Science and Biotechnology, University of Jinan, Jinan 250022, PR China.	china
85	International journal of systematic and evolutionary microbiology	Jishengella zingiberis sp. nov., isolated from root tissue of Zingiber montanum.	2018	1​Department of Biology, Faculty of Science, King Mongkut's Institute of Technology Ladkrabang, Bangkok 10520, Thailand.	thailand
86	International journal of systematic and evolutionary microbiology	Flavipsychrobacter stenotrophus gen. nov., sp. nov., a novel member of the phylum Bacteroidetes isolated from a glacier.	2018	China General Microbiological Culture Collection Center (CGMCC), Institute of Microbiology, Chinese Academy of Sciences, Beijing 100101, PR China.	china
87	International journal of systematic and evolutionary microbiology	Streptomyces venetus sp. nov., an actinomycete with a blue aerial mycelium.	2018	1​Department of Biology, Faculty of Science, Chiang Mai University, Chiang Mai 50200, Thailand.	thailand
88	Archives of microbiology	Rhodobacter alkalitolerans sp. nov., isolated from an alkaline brown pond.	2018	Department of Plant Sciences, School of Life Sciences, University of Hyderabad, P.O. Central University, Hyderabad, 500 046, India.	india
89	Archives of microbiology	Sphingobacterium praediipecoris sp. nov. isolated from effluent of a dairy manure treatment plant.	2018	Division of Biotechnology, Chonbuk National University, Iksan, 54596, Republic of Korea.	south korea
90	Microbes and environments	Presence of Cu-Type (NirK) and cd1-Type (NirS) Nitrite Reductase Genes in the Denitrifying Bacterium Bradyrhizobium nitroreducens sp. nov.	2018	Biotechnology Institute, University of Minnesota.	united states of america
91	International journal of systematic and evolutionary microbiology	Listeria goaensis sp. nov.	2018	1​Institute for Medical Microbiology, Justus-Liebig University, and German Center for Infection Research (DZIF), Partner Site Gießen-Marburg-Langen, Campus Gießen, Germany.	germany
92	International journal of systematic and evolutionary microbiology	Winogradskyella aurantiaca sp. nov., isolated from seawater.	2018	Department of Biological Sciences, Inha University, Incheon 22212, Republic of Korea.	south korea
93	International journal of systematic and evolutionary microbiology	Acidipropionibacterium virtanenii sp. nov., isolated from malted barley.	2018	1​Department of Food and Nutrition, University of Helsinki, 00014 Helsinki, Finland.	finland
94	International journal of systematic and evolutionary microbiology	Sphingobacterium haloxyli sp. nov., an endophytic bacterium isolated from Haloxylon ammodendron stems in Kumtag desert.	2018	1​State Key Laboratory of Tree Genetics and Breeding, Key Laboratory of Tree Breeding and Cultivation of the State Forestry Administration, Research Institute of Forestry, Chinese Academy of Forestry, Beijing 100091, PR China.	china
95	International journal of systematic and evolutionary microbiology	Lactobacilus nuruki sp. nov., isolated from Nuruk, a Korean fermentation starter.	2018	1​Agricultural Microbiology Division, National Institute of Agricultural Sciences, Rural Development Administration, Wanju-gun, Jeollabuk-do 565-851, Republic of Korea.	south korea
96	International journal of systematic and evolutionary microbiology	Roseomonas globiformis sp. nov., an airborne bacteria isolated from an urban area of Beijing.	2018	Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing 100050, PR China.	china
97	International journal of systematic and evolutionary microbiology	Streptomyces caeni sp. nov., isolated from mangrove mud.	2018	Institute of Tropical Biosciences and Biotechnology, Key Laboratory of Biology and Genetic Resources of Tropical Crops of Ministry of Agriculture, Chinese Academy of Tropical Agricultural Sciences, Haikou 571101, Hainan, PR China.	china
98	Archives of microbiology	Bhargavaea changchunensis sp. nov. isolated from soil in China.	2018	Engineering Research Center of Edible and Medicinal Fungi, Jilin Agricultural University, Ministry of Education, Changchun, 130118, People's Republic of China.	china
99	International journal of systematic and evolutionary microbiology	Aestuariimicrobium soli sp. nov., isolated from farmland soil, and emended description of the genus Aestuariimicrobium.	2018	1​College of Life Sciences, Nanjing Agricultural University, Nanjing 210095, PR China.	china
100	International journal of systematic and evolutionary microbiology	Acuticoccus kandeliae sp. nov., isolated from rhizosphere soil of the mangrove plant Kandelia, and emended description of Acuticoccus yangtzensis.	2018	1​Shenzhen Key Laboratory of Marine Bioresource and Eco-environmental Science, Shenzhen Engineering Laboratory for Marine Algal Biotechnology, College of Life Sciences and Oceanography, Shenzhen University, Shenzhen 518060, PR China.	china
101	International journal of systematic and evolutionary microbiology	Pontibacter silvestris sp. nov., isolated from the soil of a Populus euphratica forest and emended description of the genus Pontibacter.	2018	1​Institute of Microbiology, Xinjiang Academy of Agricultural Sciences, Urumqi, 830091, PR China.	china
102	International journal of systematic and evolutionary microbiology	Streptomyces triticisoli sp. nov., a novel actinomycete isolated from rhizosphere soil of wheat (Triticum aestivum L.).	2018	1​Key Laboratory of Agriculture Biological Functional Gene of Heilongjiang Provincial Education Committee, Northeast Agricultural University, No. 59 Mucai Street, Xiangfang District, Harbin 150030, PR China.	china
103	Journal of microbiology (Seoul, Korea)	Bacteroides sedimenti sp. nov., isolated from a chloroethenes-dechlorinating consortium enriched from river sediment.	2018	Department of Environmental Engineering and Architecture, Graduate School of Environmental Studies, Nagoya University, Nagoya, 464-8603, Japan.	japan
104	Journal of microbiology (Seoul, Korea)	Aestuariibaculum marinum sp. nov., a marine bacterium isolated from seawater in South Korea.	2018	Department of Life Science, Dongguk University-Seoul, Goyang, 10326, Republic of Korea.	south korea
105	International journal of systematic and evolutionary microbiology	Komagataeibacter cocois sp. nov., a novel cellulose-producing strain isolated from coconut milk.	2018	1​College of Food Science and Technology, Hainan University, Haikou 570228, PR China.	china
106	International journal of systematic and evolutionary microbiology	Spirosoma pollinicola sp. nov., isolated from pollen of common hazel (Corylus avellana L.).	2018	1​Institute of Applied Microbiology, Research Center for BioSystems, Land Use, and Nutrition (IFZ), Justus-Liebig-University, Giessen, 35392, Germany.	germany
107	International journal of systematic and evolutionary microbiology	Pontibacter terrae sp. nov., isolated from soil.	2018	Department of Bio & Environmental Technology, College of Natural Science, Seoul Women's University, Seoul 139-774, Republic of Korea.	south korea
