Phylum,Genus
Actinobacteria,Tetrasphaera
Actinobacteria,Thalassiella
Actinobacteria,Thermasporomyces
Actinobacteria,Thermoactinospora
Actinobacteria,Thermobifida
Actinobacteria,Thermobispora
Actinobacteria,Thermocatellispora
Actinobacteria,Thermocrispum
Actinobacteria,Thermoleophilum
Actinobacteria,Thermomonospora
Actinobacteria,Thermopolyspora
Actinobacteria,Thermostaphylospora
Actinobacteria,Thermotunica
Actinobacteria,Timonella
Actinobacteria,Tomitella
Actinobacteria,Tonsilliphilus
Actinobacteria,Trichotomospora
Actinobacteria,Tropheryma
Actinobacteria,Tropicihabitans
Actinobacteria,Trueperella
Actinobacteria,Tsukamurella
Actinobacteria,Turicella
Actinobacteria,Umezawaea
Actinobacteria,Varibaculum
Actinobacteria,Verrucosispora
Actinobacteria,Virgisporangium
Actinobacteria,Virgosporangium
Actinobacteria,Wangella
Actinobacteria,Williamsia
Actinobacteria,Xiangella
Actinobacteria,Xylanibacterium
Actinobacteria,Xylanimicrobium
Actinobacteria,Xylanimonas
Actinobacteria,Yania
Actinobacteria,Yaniella
Actinobacteria,Yimella
Actinobacteria,Yonghaparkia
Actinobacteria,Yuhushiella
Actinobacteria,Zhihengliuella
Actinobacteria,Zimmermannella
Adlerbacteria,
,Aegiribacteria
Aerophobetes,
Aerophobetes,Aerophobus
,Alkaligence
Amesbacteria,
Aminicenantes,
Aminicenantes,Aminicenans
Andersenbacteria,
Aquificae,
Aquificae,Aquifex
Aquificae,Balnearium
Aquificae,Desulfurobacterium
Aquificae,Hydrogenivirga
Aquificae,Hydrogenobacter
Aquificae,Hydrogenobaculum
Aquificae,Hydrogenothermus
Aquificae,Persephonella
Aquificae,Phorcysia
Aquificae,Sulfurihydrogenibium
Aquificae,Thermocrinis
Aquificae,Thermosulfidibacter
Aquificae,Thermovibrio
Aquificae,Venenivibrio
Armatimonadetes,
Armatimonadetes,Armatimonas
Armatimonadetes,Chthonomonas
Armatimonadetes,Fimbriimonas
Arthropoda,Bacteria Latreille et al. 1825
Atribacteria,
Atribacteria,Caldatribacteirum
Aureabacteria,
Azambacteria,
Bacillariophyta,Bacteriastrum
Bacteroidetes,
Bacteroidetes,Acetobacteroides
Bacteroidetes,Acetofilamentum
Bacteroidetes,Acetothermus
Bacteroidetes,Actibacter
Bacteroidetes,Adhaeribacter
Bacteroidetes,Aequorivita
Bacteroidetes,Aestuariibaculum
Bacteroidetes,Aestuariicola
Bacteroidetes,Aestuariimonas
Bacteroidetes,Aestuariivivens
Bacteroidetes,Algibacter
Bacteroidetes,Algitalea
Bacteroidetes,Algivirga
Bacteroidetes,Algoriella
Bacteroidetes,Algoriphagus
Bacteroidetes,Alistipes
Bacteroidetes,Alkaliflexus
Bacteroidetes,Alkalitalea
Bacteroidetes,Alloprevotella
Bacteroidetes,Altibacter
Bacteroidetes,Altuibacter
Bacteroidetes,Amoebinatus
Bacteroidetes,Amoebophilus
Bacteroidetes,Anaerocella
Bacteroidetes,Anaerophaga
Bacteroidetes,Anaerorhabdus
Bacteroidetes,Ancylomarina
Bacteroidetes,Anditalea
Bacteroidetes,Anseongella
Bacteroidetes,Antarcticibacterium
Bacteroidetes,Antarcticimonas
Bacteroidetes,Apibacter
Bacteroidetes,Aquaticitalea
Bacteroidetes,Aquibacter
Bacteroidetes,Aquiflexum
Bacteroidetes,Aquimarina
Bacteroidetes,Aquirestis
Bacteroidetes,Arachidicoccus
Bacteroidetes,Arcicella
Bacteroidetes,Arcticibacter
Bacteroidetes,Arcticibacterium
Bacteroidetes,Arcticiflavibacter
Bacteroidetes,Arenibacter
Bacteroidetes,Arenitalea
Bacteroidetes,Armantifilum
Bacteroidetes,Arsenicibacter
Bacteroidetes,Arvibacter
Bacteroidetes,Ascidiaceibacter
Bacteroidetes,Ascidianibacter
Bacteroidetes,Ascidiimonas
Bacteroidetes,Asinibacterium
Bacteroidetes,Aurantiacicella
Bacteroidetes,Aurantibacter
Bacteroidetes,Aurantisolimonas
Bacteroidetes,Aurantivirga
Bacteroidetes,Aureibacter
Bacteroidetes,Aureicoccus
Bacteroidetes,Aureimarina
Bacteroidetes,Aureisphaera
Bacteroidetes,Aureispira
Bacteroidetes,Aureitalea
Bacteroidetes,Aureivirga
Bacteroidetes,Azobacteroides
Bacteroidetes,Bacteroides
Bacteroidetes,Balneicella
Bacteroidetes,Barnesiella
Bacteroidetes,Belliella
Bacteroidetes,Bergeyella
Bacteroidetes,Bernardetia
Bacteroidetes,Bifissio
Bacteroidetes,Bizionia
Bacteroidetes,Blattabacterium
Bacteroidetes,Brownia
Bacteroidetes,Brumimicrobium
Bacteroidetes,Butyricimonas
Bacteroidetes,Capnocytophaga
Bacteroidetes,Carboxylicivirga
Bacteroidetes,Cardinium
Bacteroidetes,Catalinimonas
Bacteroidetes,Cecembia
Bacteroidetes,Cellulophaga
Bacteroidetes,Cesiribacter
Bacteroidetes,Changchengzhania
Bacteroidetes,Chimaereicella
Bacteroidetes,Chishuiella
Bacteroidetes,Chitinophaga
Bacteroidetes,Chryseobacterium
Bacteroidetes,Chryseolinea
Bacteroidetes,Citreibacter
Bacteroidetes,Citreitalea
Bacteroidetes,Cloacibacterium
Bacteroidetes,Cnuella
Bacteroidetes,Coccinimonas
Bacteroidetes,Coccinistipes
Bacteroidetes,Cochleicola
Bacteroidetes,Coenonia
Bacteroidetes,Compostibacter
Bacteroidetes,Confluentibacter
Bacteroidetes,Coprobacter
Bacteroidetes,Coralibacter
Bacteroidetes,Coraliitalea
Bacteroidetes,Corallibacter
Bacteroidetes,Costertonia
Bacteroidetes,Crenotalea
Bacteroidetes,Croceibacter
Bacteroidetes,Croceimarina
Bacteroidetes,Croceitalea
Bacteroidetes,Croceivirga
Bacteroidetes,Crocinitomix
Bacteroidetes,Cruoricaptor
Bacteroidetes,Cryomorpha
Bacteroidetes,Culturomica
Bacteroidetes,Cyclobacterium
Bacteroidetes,Cytophaga
Bacteroidetes,Daejeonia
Bacteroidetes,Dinghuibacter
Bacteroidetes,Dokdonia
Bacteroidetes,Donghaeana
Bacteroidetes,Draconibacterium
Bacteroidetes,Dyadobacter
Bacteroidetes,Dysgonomonas
Bacteroidetes,Echinicola
Bacteroidetes,Edaphobaculum
Bacteroidetes,Effluviibacter
Bacteroidetes,Eisenibacter
Bacteroidetes,Ekhidna
Bacteroidetes,Elizabethkingia
Bacteroidetes,Empedobacter
Bacteroidetes,Emticicia
Bacteroidetes,Emticiciafontis
Bacteroidetes,Epilithonimonas
Bacteroidetes,Eudoraea
Bacteroidetes,Euzebyella
Bacteroidetes,Fabibacter
Bacteroidetes,Fabivirga
Bacteroidetes,Falsiporphyromonas
Bacteroidetes,Feifantangia
Bacteroidetes,Fermentimonas
Bacteroidetes,Ferruginibacter
Bacteroidetes,Fibrella
Bacteroidetes,Fibrisoma
Bacteroidetes,Filimonas
Bacteroidetes,Filobacterium
Bacteroidetes,Flagellimonas
Bacteroidetes,Flammeovirga
Bacteroidetes,Flaviaesturariibacter
Bacteroidetes,Flavicella
Bacteroidetes,Flavihumibacter
Bacteroidetes,Flavimarina
Bacteroidetes,Flavipsychrobacter
Bacteroidetes,Flaviramulus
Bacteroidetes,Flavirhabdus
Bacteroidetes,Flavisolibacter
Bacteroidetes,Flavitalea
Bacteroidetes,Flavivirga
Bacteroidetes,Flavobacterium
Bacteroidetes,Flavococcus
Bacteroidetes,Flectobacillus
Bacteroidetes,Flexibacter
Bacteroidetes,Flexithrix
Bacteroidetes,Fluviicola
Bacteroidetes,Fluviimonas
Bacteroidetes,Fontibacter
Bacteroidetes,Formosa
Bacteroidetes,Frondibacter
Bacteroidetes,Fulvibacter
Bacteroidetes,Fulvitalea
Bacteroidetes,Fulvivirga
Bacteroidetes,Gabonia
Bacteroidetes,Gabonibacter
Bacteroidetes,Gaetbulibacter
Bacteroidetes,Gaetbulimicrobium
Bacteroidetes,Galbibacter
Bacteroidetes,Gangjinia
Bacteroidetes,Garritya
Bacteroidetes,Gelatiniphilus
Bacteroidetes,Gelidibacter
Bacteroidetes,Geofilum
Bacteroidetes,Geojedonia
Bacteroidetes,Gillisia
Bacteroidetes,Gilvibacter
Bacteroidetes,Gramella
Bacteroidetes,Haliscomenobacter
Bacteroidetes,Hallella
Bacteroidetes,Haloanella
Bacteroidetes,Hanstruepera
Bacteroidetes,Haoranjiania
Bacteroidetes,Heliimonas
Bacteroidetes,Hemobacterium
Bacteroidetes,Homeothermus
Bacteroidetes,Hongiella
Bacteroidetes,Hoppeia
Bacteroidetes,Huanghella
Bacteroidetes,Hugenholtzia
Bacteroidetes,Hwangdonia
Bacteroidetes,Hydrobacter
Bacteroidetes,Hydrotalea
Bacteroidetes,Hymenobacter
Bacteroidetes,Hyunsoonleella
Bacteroidetes,Ichthyenterobacterium
Bacteroidetes,Ichthyobacterium
Bacteroidetes,Ilumomonas
Bacteroidetes,Imperialibacter
Bacteroidetes,Imtechella
Bacteroidetes,Indibacter
Bacteroidetes,Jejudonia
Bacteroidetes,Jejuia
Bacteroidetes,Jiulongibacter
Bacteroidetes,Joostella
Bacteroidetes,Kaistella
Bacteroidetes,Kordia
Bacteroidetes,Kriegella
Bacteroidetes,Labilibacter
Bacteroidetes,Labilibaculum
Bacteroidetes,Lacibacter
Bacteroidetes,Lacihabitans
Bacteroidetes,Lacinutrix
Bacteroidetes,Larkinella
Bacteroidetes,Lascolabacillus
Bacteroidetes,Leadbetterella
Bacteroidetes,Leeuwenhoekiella
Bacteroidetes,Lentimicrobium
Bacteroidetes,Leptobacterium
Bacteroidetes,Lewinella
Bacteroidetes,Limibacter
Bacteroidetes,Lishizhenia
Bacteroidetes,Litoribacter
Bacteroidetes,Litoribaculum
Bacteroidetes,Longibacter
Bacteroidetes,Longimonas
Bacteroidetes,Lunatimonas
Bacteroidetes,Lutaonella
Bacteroidetes,Luteibaculum
Bacteroidetes,Luteivirga
Bacteroidetes,Lutibacter
Bacteroidetes,Lutimonas
Bacteroidetes,Macellibacteroides
Bacteroidetes,Magnospira
Bacteroidetes,Mangrovibacterium
Bacteroidetes,Mangroviflexus
Bacteroidetes,Mangrovimonas
Bacteroidetes,Maribacter
Bacteroidetes,Marinicola
Bacteroidetes,Marinifilum
Bacteroidetes,Mariniflexile
Bacteroidetes,Marinilabilia
Bacteroidetes,Mariniphaga
Bacteroidetes,Mariniradius
Bacteroidetes,Marinirhabdus
Bacteroidetes,Marinitalea
Bacteroidetes,Marinivirga
Bacteroidetes,Marinoscillum
Bacteroidetes,Maripseudobacter
Bacteroidetes,Maritimimonas
Bacteroidetes,Marivirga
Bacteroidetes,Marixanthomonas
Bacteroidetes,Marseilla
Bacteroidetes,Massilibacteroides
Bacteroidetes,Massiliprevotella
Bacteroidetes,Mediterranea
Bacteroidetes,Membranicola
Bacteroidetes,Meniscus
Bacteroidetes,Meridianimaribacter
Bacteroidetes,Mesoflavibacter
Bacteroidetes,Mesonia
Bacteroidetes,Metaprevotella
Bacteroidetes,Microbacter
Bacteroidetes,Microscilla
Bacteroidetes,Millionella
Bacteroidetes,Moheibacter
Bacteroidetes,Mongoliibacter
Bacteroidetes,Mongoliicoccus
Bacteroidetes,Mongoliitalea
Bacteroidetes,Mooreia
Bacteroidetes,Mucilaginibacter
Bacteroidetes,Mucinivorans
Bacteroidetes,Muribaculum
Bacteroidetes,Muricauda
Bacteroidetes,Muriicola
Bacteroidetes,Myroides
Bacteroidetes,Nafulsella
Bacteroidetes,Namhaeicola
Bacteroidetes,Natronoflexus
Bacteroidetes,Natronotalea
Bacteroidetes,Negadavirga
Bacteroidetes,Nemorella
Bacteroidetes,Nemorincola
Bacteroidetes,Nephrothrix
Bacteroidetes,Neptunitalea
Bacteroidetes,Niabella
Bacteroidetes,Niastella
Bacteroidetes,Nibrella
Bacteroidetes,Nibribacter
Bacteroidetes,Nitritalea
Bacteroidetes,Niveitalea
Bacteroidetes,Nonlabens
Bacteroidetes,Nubsella
Bacteroidetes,Oceanihabitans
Bacteroidetes,Oceanistipes
Bacteroidetes,Ochrovirga
Bacteroidetes,Odoribacter
Bacteroidetes,Ohtaekwangia
Bacteroidetes,Olivibacter
Bacteroidetes,Olleya
Bacteroidetes,Orabacterium
Bacteroidetes,Ornithobacterium
Bacteroidetes,Owenweeksia
Bacteroidetes,Paenicardinium
Bacteroidetes,Paludibacter
Bacteroidetes,Panacibacter
Bacteroidetes,Parabacteroides
Bacteroidetes,Parafilimonas
Bacteroidetes,Parahymenobacter
Bacteroidetes,Parapedobacter
Bacteroidetes,Paraprevotella
Bacteroidetes,Parasediminibacterium
Bacteroidetes,Parasegetibacter
Bacteroidetes,Pedobacter
Bacteroidetes,Pelobium
Bacteroidetes,Perexilibacter
Bacteroidetes,Persicitalea
Bacteroidetes,Persicivirga
Bacteroidetes,Persicobacter
Bacteroidetes,Petrimonas
Bacteroidetes,Phaeocystidibacter
Bacteroidetes,Phaeodactylibacter
Bacteroidetes,Phocaeicola
Bacteroidetes,Pibocella
Bacteroidetes,Planktosalinus
Bacteroidetes,Planobacterium
Bacteroidetes,Polaribacter
Bacteroidetes,Pontibacter
Bacteroidetes,Pontirhabdus
Bacteroidetes,Porifericola
Bacteroidetes,Porphyromonas
Bacteroidetes,Portibacter
Bacteroidetes,Postechiella
Bacteroidetes,Prevotella
